Format Version,1.23,Take Name,Take 2024-06-23 04.06.32 PM,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2024-06-23 04.06.33.427 PM,Capture Start Frame,35234,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,,,,,,,,,,,,,,,,,,,
,ID,574930B2D6312E11EF,574930B2D6312E11EF,574930B2D6312E11EF,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,,
231,2.31,-1.168913,-0.000618,-0.089136,,,,,,,,,,,,,,,,,,,
232,2.32,-1.169101,-0.000624,-0.089098,,,,,,,,,,,,,,,,,,,
233,2.33,-1.169248,-0.000593,-0.089016,,,,,,,,,,,,,,,,,,,
234,2.34,-1.169407,-0.000539,-0.088923,,,,,,,,,,,,,,,,,,,
235,2.35,-1.169553,-0.000511,-0.088867,,,,,,,,,,,,,,,,,,,
236,2.36,-1.169684,-0.000486,-0.088854,,,,,,,,,,,,,,,,,,,
237,2.37,-1.169818,-0.000475,-0.088808,,,,,,,,,,,,,,,,,,,
238,2.38,-1.169945,-0.00046,-0.088757,,,,,,,,,,,,,,,,,,,
239,2.39,-1.17002,-0.000479,-0.088709,,,,,,,,,,,,,,,,,,,
240,2.4,-1.170121,-0.000446,-0.08872,,,,,,,,,,,,,,,,,,,
241,2.41,-1.170217,-0.000414,-0.08874,,,,,,,,,,,,,,,,,,,
242,2.42,-1.170254,-0.000422,-0.088746,,,,,,,,,,,,,,,,,,,
243,2.43,-1.170306,-0.000442,-0.088776,,,,,,,,,,,,,,,,,,,
244,2.44,-1.170376,-0.000434,-0.088815,,,,,,,,,,,,,,,,,,,
245,2.45,-1.17047,-0.000406,-0.088864,,,,,,,,,,,,,,,,,,,
246,2.46,-1.170541,-0.000409,-0.08887,,,,,,,,,,,,,,,,,,,
247,2.47,-1.170627,-0.000396,-0.08887,,,,,,,,,,,,,,,,,,,
248,2.48,-1.17114,-0.0004,-0.088543,,,,,,,,,,,,,,,,,,,
249,2.49,-1.169467,0.001374,-0.088011,,,,,,,,,,,,,,,,,,,
250,2.5,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
251,2.51,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
252,2.52,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
253,2.53,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
254,2.54,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
255,2.55,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
256,2.56,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
257,2.57,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
258,2.58,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
259,2.59,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
260,2.6,-1.169759,0.001578,-0.08774,,,,,,,,,,,,,,,,,,,
261,2.61,-1.168914,-0.001304,-0.092595,,,,,,,,,,,,,,,,,,,
262,2.62,-1.169369,-0.000423,-0.091387,,,,,,,,,,,,,,,,,,,
263,2.63,-1.170693,0.000709,-0.089816,,,,,,,,,,,,,,,,,,,
264,2.64,-1.171403,0.001127,-0.089185,,,,,,,,,,,,,,,,,,,
265,2.65,-1.172061,0.001348,-0.088949,,,,,,,,,,,,,,,,,,,
266,2.66,-1.172801,0.001661,-0.088717,,,,,,,,,,,,,,,,,,,
267,2.67,-1.173571,0.001941,-0.088565,,,,,,,,,,,,,,,,,,,
268,2.68,-1.174299,0.002253,-0.088423,,,,,,,,,,,,,,,,,,,
269,2.69,-1.174536,0.002347,-0.08898,,,,,,,,,,,,,,,,,,,
270,2.7,-1.174505,0.002222,-0.090045,,,,,,,,,,,,,,,,,,,
271,2.71,-1.173333,0.000965,-0.09331,,,,,,,,,,,,,,,,,,,
272,2.72,-1.174414,0.00161,-0.093126,,,,,,,,,,,,,,,,,,,
273,2.73,-1.175758,0.002358,-0.093198,,,,,,,,,,,,,,,,,,,
274,2.74,-1.177133,0.002999,-0.093189,,,,,,,,,,,,,,,,,,,
275,2.75,-1.178612,0.004009,-0.092568,,,,,,,,,,,,,,,,,,,
276,2.76,-1.180224,0.004979,-0.092362,,,,,,,,,,,,,,,,,,,
277,2.77,-1.182165,0.006025,-0.092216,,,,,,,,,,,,,,,,,,,
278,2.78,-1.184428,0.007352,-0.091754,,,,,,,,,,,,,,,,,,,
279,2.79,-1.187233,0.008688,-0.091436,,,,,,,,,,,,,,,,,,,
280,2.8,-1.190889,0.010189,-0.090864,,,,,,,,,,,,,,,,,,,
281,2.81,-1.194886,0.011855,-0.090304,,,,,,,,,,,,,,,,,,,
282,2.82,-1.19943,0.013579,-0.089939,,,,,,,,,,,,,,,,,,,
283,2.83,-1.204607,0.015515,-0.089431,,,,,,,,,,,,,,,,,,,
